"DCF_Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Other","SFY 2004-2005","0 to 3 Years","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Foster Care",1,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Relative Foster Care",1,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","In State","Total",2,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","0 to 3 Years","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Connecticut Juvenile Training School",22,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Foster Care",3,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Group Home",4,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Residential Treatment Center",139,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","In State","Total",169,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Group Home",2,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Residential Treatment Center",35,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","13 to 17 Years","Out of State","Total",37,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Connecticut Juvenile Training School",3,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Foster Care",2,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","18 Years and Over","In State","PDC or Safe Home",0,"Number","Children in Placement"
